canonical_smiles,molecule_chembl_id,standard_type,type,value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CN(C)CCCS/C(=N\O)C(=O)c1ccc(Br)cc1.O=C(O)C(=O)O,CHEMBL296669,IC50,IC50,1.0,inactive,435.2960000000001,2.26,3.0,7.0,3.0
Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCCC2)o1,CHEMBL1203538,IC50,IC50,120.0,active,404.9460000000003,2.33096,2.0,7.0,6.920818753952375
COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC,CHEMBL19060,IC50,Log IC50,5.14,inactive,590.9440000000003,6.264600000000006,4.0,8.0,1.0
COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC,CHEMBL422977,IC50,Log IC50,5.35,inactive,568.8910000000004,6.833700000000007,4.0,6.0,1.0
COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,CHEMBL11805,IC50,Log IC50,6.77,inactive,666.9920000000003,7.64580000000001,0.0,6.0,1.0
COc1ccccc1CNCCCCCCNCCCCCCNCCCCCCNCc1ccccc1OC,CHEMBL302179,IC50,Log IC50,5.19,inactive,554.8640000000004,6.443600000000006,4.0,6.0,1.0
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,CHEMBL94,IC50,Log IC50,7.85,inactive,275.352,1.7739,1.0,4.0,1.0
COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC,CHEMBL27673,IC50,Log IC50,5.27,inactive,582.9180000000005,7.223800000000008,4.0,6.0,1.0
COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC,CHEMBL132377,IC50,Log IC50,6.51,inactive,638.9380000000004,6.961400000000008,2.0,6.0,1.0
NCCCCCCNCCSSCCNCCCCCCN,CHEMBL132133,IC50,Log IC50,3.3,inactive,350.6420000000003,2.5851999999999995,4.0,6.0,1.0
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,IC50,Log IC50,6.66,inactive,198.26899999999992,2.695800000000001,1.0,2.0,1.0
COc1ccccc1CNCCCCCC(=O)NCCCCCCCCNC(=O)CCCCCNCc1ccccc1OC,CHEMBL134488,IC50,Log IC50,5.73,inactive,610.8840000000005,6.2770000000000055,4.0,6.0,1.0
COc1ccccc1CNCCCCCCNCCCCCNCCCCCCNCc1ccccc1OC,CHEMBL134382,IC50,Log IC50,5.14,inactive,540.8370000000003,6.053500000000005,4.0,6.0,1.0
NC12CC(C(F)(F)F)=CC(Cc3nc(O)ccc31)/C2=C\C(F)(F)F,CHEMBL59109,IC50,IC50,3.0,intermediate,350.26200000000006,3.494600000000001,2.0,3.0,5.522878745280337
C[n+]1ccn(COCC(C)(C)[N+](=O)[O-])c1/C=N/O.[Cl-],CHEMBL286990,IC50,IC50,10.6,inactive,292.72299999999996,-2.8458999999999968,1.0,6.0,4.97469413473523
C/C=C1\C2C=C(C(F)(F)F)CC1(N)c1ccc(O)nc1C2,CHEMBL294891,IC50,IC50,0.4,active,296.29200000000003,2.9522000000000004,2.0,3.0,6.3979400086720375
C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,CHEMBL1255901,IC50,IC50,0.005,active,242.32199999999997,1.9975,2.0,2.0,8.301029995663981
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,IC50,IC50,0.254,active,198.26899999999992,2.695800000000001,1.0,2.0,6.5951662833800615
Nc1c2c(nc3ccccc13)-c1ccccc1CO2,CHEMBL89011,IC50,IC50,245.0,inactive,248.28499999999997,3.376400000000002,1.0,3.0,3.6108339156354674
C[n+]1ccccc1/C=N/O.[Cl-],CHEMBL748,IC50,IC50,366.0,inactive,172.615,-2.6767999999999983,1.0,2.0,3.4365189146055894
Nc1cc(-c2ccccc2)nc2ccccc12,CHEMBL50608,IC50,IC50,11.48,inactive,220.275,3.4840000000000018,1.0,2.0,4.940058111938045
CN(CCn1cc[n+](C)c1/C=N/O)S(C)(=O)=O.[Cl-],CHEMBL29300,IC50,IC50,6.8,intermediate,296.78,-3.9838999999999958,1.0,5.0,5.167491087293763
C[n+]1ccn(COCCS(C)(=O)=O)c1/C=N/O.[Cl-],CHEMBL27675,IC50,IC50,26.5,inactive,297.764,-3.856599999999996,1.0,6.0,4.576754126063192
CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C2=C/C(F)(F)F,CHEMBL435373,IC50,IC50,2.0,intermediate,296.292,2.9522000000000004,2.0,3.0,5.698970004336019
Nc1c2c(nc3ccccc13)-c1ccccc1C2,CHEMBL60167,IC50,IC50,0.676,active,232.28599999999997,3.388200000000001,1.0,2.0,6.170053304058364
Nc1c2c(nc3ccccc13)-c1ccccc1CC2,CHEMBL89012,IC50,IC50,2.98,intermediate,246.31299999999996,3.582600000000002,1.0,2.0,5.525783735923745
Nc1c2c(nc3ccccc13)-c1ccccc1CS2,CHEMBL314800,IC50,IC50,18.58,inactive,264.35299999999995,4.0897000000000014,1.0,3.0,4.730954290342377
C[n+]1ccn(CCN2CCCC2)c1/C=N/O.[Cl-],CHEMBL553212,IC50,IC50,17.9,inactive,258.753,-2.779499999999996,1.0,4.0,4.747146969020107
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,CHEMBL156630,IC50,IC50,4.19,intermediate,426.3140000000001,4.5945000000000045,1.0,4.0,5.377785977033705
COc1cc2cc(C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],CHEMBL315013,IC50,IC50,0.219,active,534.5160000000002,1.9129999999999998,1.0,5.0,6.6595558851598815
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,CHEMBL155754,IC50,IC50,0.23,active,305.76500000000004,2.915000000000001,1.0,4.0,6.638272163982407
COc1cc2cc(C(=O)CC3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],CHEMBL314658,IC50,IC50,0.75,active,502.47400000000016,2.472200000000001,0.0,4.0,6.1249387366083
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccccc4)cc3)sc2cc1OC,CHEMBL87170,IC50,IC50,0.0046,active,418.53800000000007,5.069800000000005,0.0,4.0,8.337242168318426
COc1cc2cc(C(=O)CCC3CC[N+](C)(CCOc4ccccc4)CC3)sc2cc1OC.[Br-],CHEMBL87959,IC50,IC50,0.39,active,548.5430000000001,2.8210000000000015,0.0,5.0,6.4089353929735005
CCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],CHEMBL87295,IC50,IC50,2.57,intermediate,450.3980000000001,1.4354999999999998,0.0,4.0,5.590066876668706
COc1cc2cc(C(=O)CCc3cc[n+](CC4CCC4)cc3)sc2cc1OC.[Br-],CHEMBL82810,IC50,IC50,0.04,active,476.4360000000001,1.8256000000000003,0.0,4.0,7.3979400086720375
C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,CHEMBL157182,IC50,IC50,0.67,active,305.765,2.915000000000001,1.0,4.0,6.173925197299173
